producer,release_to_review_time, used_real_name, verified_purchase, rating, helpfulness, number_of_votes, length_of_review_text
Acer,75,0,1,5,1,6,3248
Acer,26,1,1,5,0.824,17,418
Acer,39,0,1,5,0.846,13,899
Acer,61,1,0,5,1,4,1810
Acer,50,1,0,5,0.833,6,2768
Acer,82,0,1,5,1,1,1692
Acer,78,0,1,5,1,1,541
Acer,72,0,0,4,1,1,1047
Acer,71,1,1,5,1,1,670
Acer,74,0,1,3,0.667,3,497
Acer,87,1,1,5,0,0,578
Acer,73,0,0,5,0,0,553
Acer,72,1,1,4,0,0,415
Acer,44,0,1,5,0.5,2,482
Acer,38,0,1,5,0.5,2,305
Acer,69,0,1,5,0,1,307
Acer,68,1,1,4,0,1,133
Acer,67,0,1,4,0,1,632
Acer,58,1,1,5,0,1,524
Acer,52,1,1,2,0.333,6,150
Acer,37,0,1,2,0.385,13,1345
Acer,68,0,0,1,0.182,11,544
Acer,54,0,1,5,0.962,26,633
Acer,69,0,0,5,1,10,394
Acer,67,1,1,5,0.9,10,484
Acer,73,0,1,5,1,4,265
Acer,35,0,1,5,1,18,3166
Acer,62,0,1,4,1,9,1999
Acer,69,0,1,5,1,8,1250
Acer,52,0,1,4,1,4,637
Acer,80,0,1,5,1,2,823
Acer,86,0,1,5,1,1,143
Acer,87,0,0,5,0,0,221
Acer,17,0,0,5,1,32,3061
Acer,41,0,1,5,0.947,19,2154
Acer,9,0,1,5,0.941,17,307
Acer,51,0,1,4,1,9,3858
Acer,63,0,1,5,1,5,2294
Acer,60,0,1,5,1,5,802
Acer,64,0,1,5,1,4,548
Acer,72,0,0,5,1,3,2570
Acer,50,0,1,5,0.833,6,1158
Acer,79,0,1,5,1,1,770
Acer,86,0,1,5,0,0,1561
Acer,63,0,1,5,0.5,2,178
Acer,52,0,1,5,0.5,2,444
Acer,65,0,1,4,0,1,374
Acer,47,0,1,2,0.167,6,654
Acer,62,0,0,1,0.25,8,367
Acer,35,0,0,3,0.214,14,422
Acer,51,0,0,5,0.973,74,1839
Acer,38,0,1,5,0.955,22,717
Acer,31,1,1,5,0.944,18,512
Acer,93,0,1,3,0.861,36,1247
Acer,64,1,1,3,0.84,25,924
Acer,210,0,1,4,0.917,12,3636
Acer,70,0,1,5,0.889,9,1425
Acer,135,0,1,5,0.875,8,1203
Acer,163,0,1,4,1,4,926
Acer,119,0,1,5,1,4,320
Acer,46,0,0,5,1,4,153
Acer,294,0,0,5,1,3,890
Acer,282,1,1,4,1,3,1858
Acer,246,0,1,5,1,3,928
Acer,276,1,1,5,0.833,6,2153
Acer,272,1,1,5,0.833,6,1542
Acer,257,0,1,4,0.833,6,1436
Acer,162,1,1,4,0.833,6,1139
Acer,54,0,1,5,0.833,6,609
Acer,109,0,0,3,0.727,22,799
Acer,240,1,1,5,1,2,116
Acer,142,1,1,5,1,2,1003
Acer,313,1,1,5,1,1,758
Acer,281,0,1,4,1,1,202
Acer,267,1,0,5,1,1,367
Acer,251,0,1,3,1,1,1763
Acer,248,0,1,5,1,1,121
Acer,241,0,1,5,1,1,192
Acer,220,0,1,5,1,1,741
Acer,212,1,1,5,1,1,877
Acer,204,1,1,4,0.75,4,1334
Acer,138,0,0,5,0.667,3,1189
Acer,362,0,1,5,0,0,1469
Acer,360,0,1,4,0,0,336
Acer,359,0,0,5,0,0,140
Acer,269,0,1,4,0,0,542
Acer,268,0,1,5,0,0,367
Acer,221,0,1,5,0,0,757
Acer,184,0,1,5,0,0,730
Acer,182,1,1,5,0,0,119
Acer,180,0,1,5,0,0,325
Acer,176,0,1,5,0,0,476
Acer,175,0,0,5,0,0,172
Acer,170,0,1,5,0,0,741
Acer,207,1,1,5,0.5,2,928
Acer,205,1,1,5,0.5,2,415
Acer,154,0,1,3,0.571,7,1205
Acer,299,1,0,5,0,1,147
Acer,282,1,1,5,0,1,294
Acer,276,0,1,5,0,1,176
Acer,205,0,1,4,0,1,238
Acer,205,0,1,5,0,1,128
Acer,200,0,1,5,0,1,3337
Acer,142,1,1,5,0,1,126
Acer,168,0,1,1,0.5,10,995
Acer,336,0,0,3,0.25,4,303
Acer,272,0,0,1,0.25,4,281
Acer,20,0,1,3,0.818,11,1549
Acer,29,0,1,5,1,3,1962
Acer,36,0,1,5,0,0,402
Acer,17,0,1,5,0.5,2,145
Acer,53,0,1,5,1,6,951
Acer,54,0,1,5,1,3,1026
Acer,72,0,1,5,1,1,257
Acer,82,0,1,5,0,0,103
Acer,81,1,1,5,0,0,822
Acer,79,0,1,5,0,0,492
Acer,68,0,1,5,0,0,294
Acer,60,1,1,3,0.5,4,847
Acer,73,0,1,5,1,19,876
Acer,74,0,1,5,0.923,13,1102
Acer,96,0,1,5,1,6,2605
Acer,94,1,1,5,1,6,1911
Acer,81,0,0,5,1,4,736
Acer,133,1,1,5,1,3,2854
Acer,129,0,0,5,1,2,986
Acer,79,0,1,5,1,2,476
Acer,110,1,0,5,1,1,544
Acer,79,0,1,4,0.7,10,491
Acer,188,1,1,5,0,0,779
Acer,164,1,1,5,0,0,963
Acer,109,0,1,4,0,0,193
Acer,105,0,1,5,0,0,320
Acer,104,0,1,5,0,0,135
Acer,97,0,1,5,0,0,227
Acer,69,0,1,4,1,3,2210
Acer,65,1,1,5,1,3,350
Acer,54,0,1,5,1,3,503
Acer,74,0,1,5,0,0,380
Acer,59,1,1,4,0.6,5,151
Acer,43,0,0,5,0.5,4,124
Acer,4,0,1,5,1,76,6120
Acer,3,0,0,5,0.839,31,179
Acer,8,1,1,5,1,3,576
Acer,9,0,1,5,1,2,1799
Acer,9,1,1,5,1,2,1250
Acer,16,0,1,4,1,1,2377
Acer,10,0,1,5,1,1,1256
Acer,36,0,1,1,0,0,266
Acer,35,0,1,5,0,0,226
Acer,35,0,1,5,0,0,185
Acer,35,1,1,5,0,0,605
Acer,35,0,1,5,0,0,234
Acer,33,0,1,5,0,0,243
Acer,18,0,1,5,0,0,224
Acer,10,0,1,5,0,0,1162
Acer,9,0,0,4,0,0,598
Acer,10,1,1,3,0.5,2,1063
Acer,8,0,1,4,0.5,2,236
Acer,9,0,1,2,0.4,5,1665
Acer,7,0,1,4,0.4,5,1732
Acer,14,0,1,5,0,3,165
Acer,6,0,0,2,0,8,270
Acer,36,0,0,5,0.875,8,4069
Acer,43,0,0,1,0.5,2,339
Acer,36,1,0,1,0,44,328
Acer,88,0,1,4,1,1,524
Acer,42,0,1,5,0.857,14,1036
Acer,80,0,1,4,1,2,1987
Acer,86,0,1,5,1,1,116
Acer,76,0,1,5,1,1,2440
Acer,74,0,1,5,1,1,383
Acer,43,1,0,2,0.96,25,4768
Acer,152,0,1,5,0,0,202
Acer,124,0,0,5,0,0,256
Acer,88,0,0,3,0,1,559
Acer,52,0,1,5,0,2,187
Acer,54,0,1,4,1,9,3406
Acer,67,0,1,3,1,5,2028
Acer,51,0,1,4,0.714,7,2157
Acer,83,0,0,5,0,0,1617
Acer,74,0,0,5,0,0,444
Acer,53,0,1,5,0.991,115,3572
Acer,49,0,1,5,1,30,1411
Acer,99,0,1,5,1,19,3623
Acer,45,1,1,5,0.897,29,1010
Acer,116,0,1,5,1,13,1303
Acer,124,0,1,4,1,9,1881
Acer,64,0,1,5,1,8,1871
Acer,17,0,0,5,0.85,20,356
Acer,80,1,1,5,0.867,15,2301
Acer,148,1,1,5,1,7,2357
Acer,82,0,1,4,1,7,249
Acer,62,0,0,5,1,7,954
Acer,150,0,1,5,1,5,2079
Acer,146,0,1,5,1,5,1901
Acer,76,0,1,5,0.875,8,845
Acer,245,1,1,5,1,4,1886
Acer,65,0,1,5,1,4,628
Acer,62,0,1,5,1,3,993
Acer,221,0,1,3,0.833,6,1654
Acer,244,1,0,4,1,2,365
Acer,225,0,1,5,1,2,1478
Acer,206,0,1,5,1,2,704
Acer,176,0,0,5,1,2,1658
Acer,168,0,1,4,1,2,665
Acer,126,0,1,5,1,2,620
Acer,113,1,1,5,1,2,537
Acer,110,0,1,4,1,2,502
Acer,75,1,1,5,1,2,548
Acer,72,0,0,5,1,2,672
Acer,156,0,1,5,0.8,5,394
Acer,123,0,0,5,0.8,5,1444
Acer,257,0,1,5,1,1,841
Acer,217,0,1,5,1,1,561
Acer,216,0,1,5,1,1,771
Acer,205,0,1,3,1,1,503
Acer,188,0,1,5,1,1,279
Acer,182,0,1,5,1,1,596
Acer,182,1,1,5,1,1,357
Acer,145,0,1,5,1,1,341
Acer,126,0,1,5,1,1,392
Acer,96,0,1,5,1,1,267
Acer,81,0,1,5,1,1,362
Acer,78,0,0,5,1,1,393
Acer,131,0,1,3,0.7,10,799
Acer,198,0,1,2,0.667,6,937
Acer,140,0,1,5,0.667,3,304
Acer,351,1,1,5,0,0,147
Acer,344,0,1,4,0,0,434
Acer,244,1,1,5,0,0,555
Acer,233,0,0,5,0,0,1998
Acer,224,0,1,5,0,0,763
Acer,219,1,1,4,0,0,490
Acer,198,1,1,5,0,0,1035
Acer,192,0,1,5,0,0,369
Acer,187,0,1,4,0,0,767
Acer,164,0,1,5,0,0,299
Acer,149,0,1,4,0,0,399
Acer,144,0,1,3,0,0,278
Acer,110,1,1,5,0,0,346
Acer,233,0,1,5,0.5,2,960
Acer,228,0,1,4,0.5,2,193
Acer,214,0,1,5,0.5,2,131
Acer,173,1,1,5,0.5,2,830
Acer,57,0,0,4,0.571,7,465
Acer,237,1,1,1,0.5,4,1740
Acer,271,1,1,5,0,1,508
Acer,245,0,1,5,0,1,287
Acer,216,0,0,5,0,1,268
Acer,141,0,1,4,0,1,179
Acer,200,0,0,1,0.538,13,1284
Acer,19,1,0,3,0.553,38,2828
Acer,202,1,1,2,0.25,4,844
Acer,174,1,1,4,0.25,4,307
Acer,152,0,1,1,0.4,10,437
Acer,44,0,1,3,0.35,20,805
Acer,158,1,1,1,0,11,1004
Acer,54,0,1,1,0.133,30,176
Acer,75,0,1,5,0,0,120
Acer,174,0,0,5,0.889,9,1200
Acer,216,0,0,3,0.667,3,1062
Acer,295,0,0,2,0,0,1190
Acer,275,1,0,5,0,0,568
Acer,235,1,1,1,0.429,7,167
Acer,90,0,1,5,1,2,280
Acer,129,1,0,4,0.444,9,1242
Acer,82,1,0,5,0.951,61,8028
Acer,87,0,1,5,0.958,24,1479
Acer,97,0,1,5,1,15,2517
Acer,287,0,0,1,0.933,15,822
Acer,106,0,1,4,1,10,2618
Acer,112,1,1,4,1,9,1502
Acer,110,0,1,4,0.9,10,823
Acer,260,0,1,3,1,5,1668
Acer,133,1,1,5,1,5,303
Acer,129,1,1,4,0.875,8,640
Acer,387,1,1,5,1,4,4051
Acer,258,0,1,3,1,4,629
Acer,144,1,1,5,1,4,415
Acer,281,1,1,3,1,3,1471
Acer,196,1,1,5,1,3,957
Acer,195,0,1,4,1,3,337
Acer,398,0,1,4,1,2,225
Acer,349,0,1,4,1,2,1227
Acer,344,0,0,5,1,2,308
Acer,324,0,1,5,1,2,1338
Acer,104,1,1,4,0.8,5,978
Acer,174,0,1,3,0.714,14,2782
Acer,424,0,1,3,1,1,1730
Acer,380,0,1,5,1,1,1033
Acer,320,0,1,5,1,1,456
Acer,452,0,0,5,0,0,327
Acer,414,1,1,5,0,0,799
Acer,377,0,1,4,0,0,625
Acer,374,0,1,5,0,0,440
Acer,373,0,1,5,0,0,151
Acer,371,0,1,5,0,0,286
Acer,370,0,1,5,0,0,125
Acer,366,0,1,5,0,0,846
Acer,196,0,1,2,0.6,5,551
Acer,380,0,1,1,0.5,2,290
Acer,137,0,1,5,0.5,2,144
Acer,136,0,1,5,0.5,4,107
Acer,201,0,0,3,0.556,9,799
Acer,343,0,1,4,0,1,280
Acer,387,0,1,4,0,2,433
Acer,375,0,1,1,0,2,1067
Acer,175,0,0,1,0.158,19,641
Acer,14,1,1,4,0.667,3,599
Acer,33,1,1,4,0,0,390
Acer,153,0,1,5,0.975,118,3552
Acer,144,0,0,4,0.951,61,2748
Acer,107,0,1,5,0.974,38,352
Acer,142,0,1,4,0.923,13,1706
Acer,102,0,1,5,0.85,20,339
Acer,178,0,1,5,1,7,1856
Acer,125,0,1,5,0.857,14,300
Acer,223,0,0,5,1,6,1677
Acer,247,0,0,2,1,4,548
Acer,193,0,0,5,0.857,7,2641
Acer,117,1,1,5,0.769,13,1294
Acer,186,0,1,5,0.833,6,1035
Acer,243,1,0,5,1,2,847
Acer,229,1,1,5,1,2,328
Acer,219,1,1,5,1,2,552
Acer,219,0,1,5,1,2,677
Acer,200,0,1,5,1,2,588
Acer,186,0,1,4,0.8,5,599
Acer,224,0,1,2,0.75,8,724
Acer,306,1,1,4,1,1,350
Acer,293,0,1,4,1,1,1704
Acer,237,1,1,4,1,1,448
Acer,203,1,1,5,1,1,1102
Acer,193,0,1,5,1,1,376
Acer,156,0,0,5,0.75,4,701
Acer,251,0,0,1,0.667,3,565
Acer,171,0,1,4,0.667,3,465
Acer,170,0,1,5,0.667,3,730
Acer,369,0,1,2,0,0,303
Acer,369,0,1,1,0,0,962
Acer,365,0,0,5,0,0,4366
Acer,303,1,1,1,0,0,432
Acer,300,1,1,4,0,0,371
Acer,300,0,1,5,0,0,171
Acer,290,1,0,1,0,0,279
Acer,288,0,1,5,0,0,222
Acer,279,0,1,5,0,0,123
Acer,260,0,1,5,0,0,360
Acer,257,0,1,5,0,0,151
Acer,253,0,1,5,0,0,180
Acer,247,1,1,5,0,0,703
Acer,244,0,1,3,0,0,508
Acer,301,1,0,1,0.5,2,1696
Acer,237,1,1,2,0.5,4,1001
Acer,150,0,1,1,0.556,9,664
Acer,299,0,1,1,0,1,815
Acer,114,1,1,3,0.563,16,891
Acer,240,0,1,2,0,2,135
Acer,150,0,1,2,0.444,9,667
Acer,180,1,1,2,0.286,7,568
Acer,169,0,1,3,0.167,6,402
Acer,171,0,0,1,0.097,31,457
Acer,79,0,1,5,0,0,124
Acer,64,0,0,4,0.333,3,271
Acer,78,0,1,4,0,0,208
Acer,156,0,0,5,0.5,2,114
Acer,156,0,0,5,0.5,2,115
Acer,156,0,0,5,0.333,3,162
Acer,156,0,0,5,0.25,4,121
Acer,74,0,0,5,1,10,169
Acer,14,0,1,4,1,53,2358
Acer,47,1,1,5,1,15,398
Acer,38,0,1,5,1,11,342
Acer,74,1,1,5,1,7,523
Acer,93,0,1,4,1,5,425
Acer,61,1,0,5,1,5,440
Acer,64,0,1,5,1,4,638
Acer,97,1,0,4,1,3,1550
Acer,86,0,1,5,1,3,339
Acer,96,0,1,5,1,2,801
Acer,90,0,1,5,1,1,133
Acer,150,0,1,5,0,0,178
Acer,138,0,1,1,0,0,834
Acer,127,1,1,5,0,0,144
Acer,125,0,0,4,0,0,131
Acer,117,0,1,5,0,0,132
Acer,22,0,1,5,0.923,13,393
Acer,119,0,1,4,1,7,189
Acer,112,1,0,4,1,5,188
Acer,139,1,0,5,0.875,8,1197
Acer,26,0,1,4,0.786,14,776
Acer,68,0,1,5,0.833,6,908
Acer,177,1,1,1,1,2,871
Acer,122,0,1,5,1,2,351
Acer,177,1,1,5,1,1,567
Acer,119,0,1,3,0.5,6,102
Acer,66,0,0,1,0,0,652
Acer,62,0,0,5,0,0,326
Acer,80,0,0,5,0.154,13,868
Acer,76,1,0,5,0,0,502
Acer,59,0,0,5,0,0,397
Acer,49,0,0,3,0,0,375
Acer,105,0,1,5,0,1,109
Acer,101,0,1,5,0.9,10,3444
Acer,93,1,1,3,0.846,13,613
Acer,80,0,1,5,1,5,429
Acer,77,0,1,4,1,3,219
Acer,89,0,1,4,1,1,482
Acer,61,0,0,5,0.7,10,123
Acer,157,1,1,5,0,0,364
Acer,147,1,1,5,0,0,124
Acer,113,0,1,5,0,0,700
Acer,112,1,0,5,0,0,1023
Acer,110,0,1,4,0,0,199
Acer,83,0,1,5,0,0,365
Acer,81,0,1,4,0,0,122
Acer,109,0,1,5,1,1,442
Acer,95,0,1,4,0.75,4,1538
Acer,97,0,1,4,0,0,550
Acer,102,1,1,4,0.5,2,1237
Acer,5,0,0,5,0.906,32,624
Acer,6,0,1,5,0.95,20,4493
Acer,5,0,0,4,0.765,17,175
Acer,25,1,1,5,0.981,53,3745
Acer,25,0,1,5,1,11,3634
Acer,59,1,1,5,1,10,2479
Acer,97,1,1,4,1,5,4010
Acer,15,1,1,4,1,3,669
Acer,60,0,1,5,0.833,6,980
Acer,6,1,1,3,0.71,31,2923
Acer,85,1,1,4,1,2,1592
Acer,85,1,1,5,1,2,1388
Acer,82,1,0,5,1,2,2340
Acer,47,0,1,4,1,2,833
Acer,21,1,1,5,1,2,2205
Acer,116,0,1,5,1,1,144
Acer,93,0,1,5,1,1,1081
Acer,79,0,1,4,1,1,340
Acer,50,0,0,5,1,1,3041
Acer,33,0,1,5,1,1,1419
Acer,28,0,1,2,0.667,9,2752
Acer,120,0,1,5,0,0,109
Acer,111,1,1,5,0,0,1372
Acer,95,0,1,5,0,0,1221
Acer,82,0,1,5,0,0,1953
Acer,76,0,1,5,0,0,206
Acer,71,1,1,5,0,0,277
Acer,52,1,1,5,0,0,1395
Acer,51,0,1,5,0,0,308
Acer,51,0,1,1,0,0,2747
Acer,43,1,1,5,0,0,1055
Acer,38,0,1,5,0,0,1930
Acer,38,1,1,5,0,0,2892
Acer,31,0,1,4,0,0,4752
Acer,28,0,1,5,0,0,1030
Acer,26,0,1,5,0,0,859
Acer,24,1,0,5,0,0,517
Acer,90,0,0,5,0,1,436
Acer,22,0,1,2,0.182,11,1850
Acer,102,0,0,5,1,8,654
Acer,121,0,0,5,1,2,118
Acer,158,0,1,5,1,1,373
Acer,157,1,1,5,1,1,110
Acer,193,0,1,4,0,0,140
Acer,175,1,1,5,0,0,633
Acer,18,0,0,5,0.75,4,724
Acer,235,0,1,5,0,0,90
Acer,95,0,0,5,0,0,363
Acer,38,0,1,5,0.959,73,2582
Acer,85,1,1,5,1,20,2775
Acer,86,0,1,5,0.917,12,991
Acer,65,1,1,5,1,7,968
Acer,173,1,1,4,1,4,4546
Acer,45,1,1,5,0.857,7,667
Acer,144,0,1,3,1,3,2179
Acer,60,0,1,5,1,3,1245
Acer,260,0,1,3,1,2,830
Acer,117,1,1,5,1,2,814
Acer,185,0,1,4,1,1,352
Acer,171,0,1,5,1,1,91
Acer,71,0,0,3,0.667,18,1697
Acer,174,1,1,5,0.667,3,824
Acer,66,0,1,5,0.667,3,951
Acer,322,0,0,4,0,0,835
Acer,295,0,1,5,0,0,884
Acer,180,0,0,5,0,0,430
Acer,175,1,1,4,0,0,135
Acer,165,1,1,5,0,0,188
Acer,164,0,1,5,0,0,149
Acer,164,0,1,3,0,0,408
Acer,135,1,1,5,0,0,336
Acer,130,0,1,4,0,0,219
Acer,130,0,1,4,0,0,101
Acer,117,1,1,5,0,0,577
Acer,100,0,1,5,0,0,704
Acer,46,0,1,1,0.583,24,2006
Acer,81,0,1,3,0.333,3,1479
Acer,126,0,1,1,0.5,10,1657
Acer,152,0,1,2,0,2,454
Acer,68,1,0,5,0.25,4,444
Acer,47,0,1,5,0.923,13,934
Acer,3,0,0,2,0.923,13,226
Acer,31,0,1,4,1,7,327
Acer,17,0,1,1,0.875,8,634
Acer,38,0,0,4,1,4,302
Acer,81,0,0,5,1,3,3731
Acer,53,0,0,5,1,3,712
Acer,80,0,1,5,0,0,160
Acer,101,0,1,1,0.5,2,866
Acer,90,0,1,3,0,1,129
Acer,88,0,0,5,1,41,1799
Acer,51,0,1,5,0.925,53,899
Acer,88,1,1,5,1,25,1183
Acer,98,0,1,5,1,16,4963
Acer,108,0,1,5,1,9,4686
Acer,91,0,1,4,1,9,825
Acer,128,0,0,5,0.889,9,1183
Acer,193,1,1,3,1,5,822
Acer,109,0,1,4,1,5,619
Acer,74,0,1,5,1,5,234
Acer,194,1,1,5,1,4,2114
Acer,90,0,1,5,1,4,1038
Acer,119,0,0,5,1,3,1473
Acer,221,1,1,3,1,2,1907
Acer,159,0,1,5,1,2,1417
Acer,153,0,1,5,1,2,729
Acer,100,0,1,4,0.8,5,969
Acer,349,0,1,1,1,1,478
Acer,339,0,1,1,1,1,1924
Acer,186,0,1,5,1,1,517
Acer,179,0,1,5,1,1,944
Acer,161,0,1,4,1,1,2308
Acer,142,0,1,4,1,1,447
Acer,107,0,1,4,1,1,691
Acer,132,1,1,5,0.667,3,537
Acer,129,0,1,5,0.667,3,896
Acer,120,0,0,4,0.667,3,1142
Acer,359,0,1,4,0,0,1416
Acer,313,1,1,4,0,0,318
Acer,283,1,1,5,0,0,155
Acer,261,0,1,4,0,0,924
Acer,200,0,1,5,0,0,296
Acer,188,0,1,4,0,0,780
Acer,186,0,0,4,0,0,1583
Acer,179,1,1,5,0,0,463
Acer,178,1,1,5,0,0,625
Acer,172,0,1,5,0,0,239
Acer,172,1,1,5,0,0,346
Acer,171,0,1,5,0,0,122
Acer,169,0,1,5,0,0,512
Acer,168,0,1,4,0,0,593
Acer,164,0,1,5,0,0,301
Acer,163,0,1,5,0,0,238
Acer,163,0,1,5,0,0,1538
Acer,160,0,1,5,0,0,147
Acer,158,0,1,5,0,0,805
Acer,150,0,1,5,0,0,427
Acer,147,0,1,5,0,0,423
Acer,143,0,1,5,0,0,133
Acer,139,0,1,5,0,0,442
Acer,126,1,1,5,0,0,418
Acer,125,0,0,5,0,0,129
Acer,99,1,1,5,0,0,400
Acer,93,1,1,5,0,0,782
Acer,140,1,1,4,0.5,2,717
Acer,133,0,1,5,0.5,2,196
Acer,131,0,1,5,0.5,2,933
Acer,128,0,1,5,0.5,2,243
Acer,120,0,1,5,0.5,2,920
Acer,109,0,1,5,0.5,2,636
Acer,231,0,1,4,0,1,371
Acer,192,1,0,5,0,1,2882
Acer,166,0,0,5,0,1,115
Acer,248,0,1,3,0,2,225
Acer,271,1,1,1,0,3,131
Acer,151,0,1,2,0.286,7,479
Acer,158,0,1,1,0.111,9,459
Acer,37,0,1,3,0.139,36,206
Acer,13,1,0,5,0.938,16,868
Acer,22,1,0,5,1,10,513
Acer,59,0,0,4,1,4,379
Acer,129,0,0,4,1,2,864
Acer,63,1,1,5,1,2,110
Acer,16,0,0,3,0.5,2,266
Acer,24,1,0,5,1,14,3725
Acer,90,0,0,4,1,2,634
Acer,199,0,1,1,0.667,3,1725
Acer,147,0,1,5,0.6,5,217
Acer,56,0,1,4,1,7,371
Acer,66,0,1,5,1,2,583
Acer,114,1,1,5,0,0,195
Acer,11,0,0,1,1,5,426
Acer,94,0,0,4,1,3,847
Acer,34,0,0,5,1,3,421
Acer,65,1,0,5,1,1,863
Acer,36,0,0,1,1,1,309
Acer,35,0,0,4,1,1,678
Acer,20,0,0,5,1,1,220
Acer,13,0,0,1,1,1,382
Acer,197,1,0,2,0,0,927
Acer,121,0,0,4,0,0,858
Acer,95,0,1,4,0,0,218
Acer,16,0,0,4,0,0,569
Acer,14,0,0,5,0,1,156
Acer,102,1,0,5,1,14,305
Acer,153,0,1,4,1,8,823
Acer,170,0,0,4,1,3,856
Acer,180,0,0,1,0,0,757
Acer,94,0,1,4,0,0,289
Acer,56,0,0,1,0.8,25,750
Acer,159,0,0,5,1,1,1576
Acer,211,1,1,5,0,0,3080
Acer,138,0,1,5,0.5,4,310
Acer,109,1,0,1,0.583,12,511
Acer,38,1,0,4,0,0,2901
Acer,77,0,1,5,0.979,48,1512
Acer,85,0,1,4,1,15,1617
Acer,82,0,1,4,1,5,756
Acer,113,0,1,5,1,4,523
Acer,81,1,1,5,0.857,7,404
Acer,68,1,1,3,0.75,20,625
Acer,80,1,1,5,1,3,373
Acer,111,1,1,4,1,2,213
Acer,107,0,1,4,1,2,243
Acer,176,0,0,5,1,1,425
Acer,169,0,1,5,1,1,271
Acer,167,0,1,5,1,1,110
Acer,142,0,1,3,1,1,314
Acer,141,0,1,5,1,1,120
Acer,139,0,1,4,1,1,168
Acer,126,0,1,5,1,1,593
Acer,106,0,1,5,1,1,365
Acer,68,0,0,3,0.692,13,997
Acer,348,0,1,4,0,0,618
Acer,259,1,1,3,0,0,473
Acer,256,0,0,4,0,0,469
Acer,254,0,0,3,0,0,1191
Acer,178,1,1,5,0,0,805
Acer,162,1,1,1,0,9,436
Acer,33,0,1,5,0.989,94,781
Acer,75,0,1,5,0.982,57,3227
Acer,56,0,0,5,0.98,49,620
Acer,113,0,0,1,0.909,22,1071
Acer,79,1,0,5,1,10,764
Acer,81,0,1,4,1,5,755
Acer,132,0,1,1,0.778,9,588
Acer,109,1,0,5,1,2,1020
Acer,225,0,1,4,1,1,156
Acer,164,0,1,5,1,1,257
Acer,97,0,1,4,0.75,4,160
Acer,438,0,1,4,0,0,108
Acer,383,0,1,4,0,0,389
Acer,347,0,1,4,0,0,429
Acer,125,0,1,5,0,0,896
Acer,105,0,1,5,0,0,235
Acer,99,1,1,5,0,0,174
Acer,124,0,1,4,0.5,2,245
Acer,96,0,1,5,0.5,2,215
Acer,62,0,0,5,0.6,15,228
Acer,100,1,1,5,0,1,667
Acer,120,0,1,1,0.5,8,238
Acer,120,0,0,3,0.5,10,409
Acer,129,1,1,1,0.286,14,152
Acer,81,0,0,2,0.395,38,879
Acer,4,0,0,4,1,4,1039
Acer,52,0,1,5,0,0,189
Acer,261,0,0,4,1,1,2791
Acer,243,0,0,5,1,1,214
Acer,237,0,0,1,0,2,170
Acer,66,0,0,5,1,4,1759
Acer,205,1,0,2,1,3,270
Acer,100,0,0,5,0.8,5,394
Acer,146,0,0,5,1,1,348
Acer,481,1,0,5,0,0,272
Acer,463,0,0,1,0,0,748
Acer,205,1,0,4,0,0,1464
